timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1722613053975,29,Login Request,200,OK,Thread Group - Login 1-1,text,true,,10232,373,1,2,http://127.0.0.1/shop/home.php,19,0,2
1722613053975,19,Login Request-0,302,Found,Thread Group - Login 1-1,text,true,,3730,249,1,2,http://127.0.0.1/shop/login.php,19,0,2
1722613053994,10,Login Request-1,200,OK,Thread Group - Login 1-1,text,true,,6502,124,1,2,http://127.0.0.1/shop/home.php,10,0,0
1722613054077,10,Login Request,200,OK,Thread Group - Login 1-2,text,true,,11062,373,1,1,http://127.0.0.1/shop/home.php,4,0,0
1722613054077,4,Login Request-0,302,Found,Thread Group - Login 1-2,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,4,0,0
1722613054081,6,Login Request-1,200,OK,Thread Group - Login 1-2,text,true,,7332,124,1,1,http://127.0.0.1/shop/home.php,6,0,0
1722613054177,10,Login Request,200,OK,Thread Group - Login 1-3,text,true,,11902,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613054177,5,Login Request-0,302,Found,Thread Group - Login 1-3,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613054182,5,Login Request-1,200,OK,Thread Group - Login 1-3,text,true,,8172,124,1,1,http://127.0.0.1/shop/home.php,5,0,0
1722613054277,10,Login Request,200,OK,Thread Group - Login 1-4,text,true,,12768,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613054277,5,Login Request-0,302,Found,Thread Group - Login 1-4,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613054283,4,Login Request-1,200,OK,Thread Group - Login 1-4,text,true,,9038,124,1,1,http://127.0.0.1/shop/home.php,4,0,0
1722613054377,10,Login Request,200,OK,Thread Group - Login 1-5,text,true,,13608,373,1,1,http://127.0.0.1/shop/home.php,5,0,1
1722613054377,5,Login Request-0,302,Found,Thread Group - Login 1-5,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,5,0,1
1722613054382,5,Login Request-1,200,OK,Thread Group - Login 1-5,text,true,,9878,124,1,1,http://127.0.0.1/shop/home.php,5,0,0
1722613054477,13,Login Request,200,OK,Thread Group - Login 1-6,text,true,,14448,373,1,2,http://127.0.0.1/shop/home.php,6,0,1
1722613054477,6,Login Request-0,302,Found,Thread Group - Login 1-6,text,true,,3730,249,1,2,http://127.0.0.1/shop/login.php,6,0,1
1722613054483,7,Login Request-1,200,OK,Thread Group - Login 1-6,text,true,,10718,124,1,2,http://127.0.0.1/shop/home.php,6,0,0
1722613054576,14,Login Request,200,OK,Thread Group - Login 1-7,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,9,0,1
1722613054576,9,Login Request-0,302,Found,Thread Group - Login 1-7,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,9,0,1
1722613054585,5,Login Request-1,200,OK,Thread Group - Login 1-7,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,5,0,0
1722613054679,15,Login Request,200,OK,Thread Group - Login 1-8,text,true,,14448,373,1,2,http://127.0.0.1/shop/home.php,9,0,1
1722613054679,9,Login Request-0,302,Found,Thread Group - Login 1-8,text,true,,3730,249,1,2,http://127.0.0.1/shop/login.php,9,0,1
1722613054688,6,Login Request-1,200,OK,Thread Group - Login 1-8,text,true,,10718,124,1,2,http://127.0.0.1/shop/home.php,5,0,0
1722613054776,22,Login Request,200,OK,Thread Group - Login 1-9,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,15,0,1
1722613054776,15,Login Request-0,302,Found,Thread Group - Login 1-9,text,true,,3730,249,1,1,http://127.0.0.1/shop/login.php,15,0,1
1722613054791,7,Login Request-1,200,OK,Thread Group - Login 1-9,text,true,,10718,124,1,1,http://127.0.0.1/shop/home.php,6,0,0
1722613054877,12,Login Request,200,OK,Thread Group - Login 1-10,text,true,,14448,373,1,1,http://127.0.0.1/shop/home.php,7,0,1
