timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1722613060302,8,Create Product,200,OK,Thread Group - Create Product 2-64,text,true,,46841,8135,1,1,http://127.0.0.1/shop/admin/products.php,8,0,1
1722613060401,28,Create Product,200,OK,Thread Group - Create Product 2-65,text,true,,47524,8121,1,1,http://127.0.0.1/shop/admin/products.php,28,0,1
1722613060502,8,Create Product,200,OK,Thread Group - Create Product 2-66,text,true,,48207,8114,1,1,http://127.0.0.1/shop/admin/products.php,8,0,1
1722613060613,8,Create Product,200,OK,Thread Group - Create Product 2-67,text,true,,48890,8107,1,1,http://127.0.0.1/shop/admin/products.php,8,0,1
1722613060710,9,Create Product,200,OK,Thread Group - Create Product 2-68,text,true,,49573,8142,1,1,http://127.0.0.1/shop/admin/products.php,9,0,1
1722613060811,8,Create Product,200,OK,Thread Group - Create Product 2-69,text,true,,50263,8107,1,1,http://127.0.0.1/shop/admin/products.php,8,0,1
1722613060911,28,Create Product,200,OK,Thread Group - Create Product 2-70,text,true,,50946,8163,1,1,http://127.0.0.1/shop/admin/products.php,27,0,0
1722613061010,9,Create Product,200,OK,Thread Group - Create Product 2-71,text,true,,51629,8135,1,1,http://127.0.0.1/shop/admin/products.php,8,0,1
1722613061109,8,Create Product,200,OK,Thread Group - Create Product 2-72,text,true,,52312,8163,1,1,http://127.0.0.1/shop/admin/products.php,7,0,1
1722613061212,9,Create Product,200,OK,Thread Group - Create Product 2-73,text,true,,52995,8170,1,1,http://127.0.0.1/shop/admin/products.php,8,0,1
1722613061312,9,Create Product,200,OK,Thread Group - Create Product 2-74,text,true,,53678,8163,1,1,http://127.0.0.1/shop/admin/products.php,8,0,1
1722613061413,9,Create Product,200,OK,Thread Group - Create Product 2-75,text,true,,54362,8121,1,1,http://127.0.0.1/shop/admin/products.php,8,0,1
1722613061513,9,Create Product,200,OK,Thread Group - Create Product 2-76,text,true,,55045,8114,1,1,http://127.0.0.1/shop/admin/products.php,9,0,1
1722613061612,9,Create Product,200,OK,Thread Group - Create Product 2-77,text,true,,55728,8142,1,1,http://127.0.0.1/shop/admin/products.php,8,0,1
1722613061689,9,Create Product,200,OK,Thread Group - Create Product 2-78,text,true,,56411,8135,1,1,http://127.0.0.1/shop/admin/products.php,8,0,1
1722613061812,12,Create Product,200,OK,Thread Group - Create Product 2-79,text,true,,57094,8100,1,1,http://127.0.0.1/shop/admin/products.php,11,0,1
1722613061912,11,Create Product,200,OK,Thread Group - Create Product 2-80,text,true,,57777,8170,1,1,http://127.0.0.1/shop/admin/products.php,10,0,1
1722613062012,11,Create Product,200,OK,Thread Group - Create Product 2-81,text,true,,58467,8135,1,1,http://127.0.0.1/shop/admin/products.php,11,0,1
1722613062090,10,Create Product,200,OK,Thread Group - Create Product 2-82,text,true,,59150,8107,1,1,http://127.0.0.1/shop/admin/products.php,9,0,0
1722613062211,9,Create Product,200,OK,Thread Group - Create Product 2-83,text,true,,59833,8149,1,1,http://127.0.0.1/shop/admin/products.php,8,0,1
1722613062311,9,Create Product,200,OK,Thread Group - Create Product 2-84,text,true,,60516,8149,1,1,http://127.0.0.1/shop/admin/products.php,8,0,1
1722613062389,8,Create Product,200,OK,Thread Group - Create Product 2-85,text,true,,61199,8142,1,1,http://127.0.0.1/shop/admin/products.php,8,0,1
1722613062510,8,Create Product,200,OK,Thread Group - Create Product 2-86,text,true,,61882,8135,1,1,http://127.0.0.1/shop/admin/products.php,8,0,1
1722613062614,32,Create Product,200,OK,Thread Group - Create Product 2-87,text,true,,62566,8170,1,1,http://127.0.0.1/shop/admin/products.php,31,0,1
1722613062711,9,Create Product,200,OK,Thread Group - Create Product 2-88,text,true,,63249,8121,1,1,http://127.0.0.1/shop/admin/products.php,8,0,1
1722613062788,13,Create Product,200,OK,Thread Group - Create Product 2-89,text,true,,63932,8149,1,1,http://127.0.0.1/shop/admin/products.php,13,0,1
1722613062909,9,Create Product,200,OK,Thread Group - Create Product 2-90,text,true,,64615,8156,1,1,http://127.0.0.1/shop/admin/products.php,8,0,1
1722613062991,11,Create Product,200,OK,Thread Group - Create Product 2-91,text,true,,65298,8170,1,1,http://127.0.0.1/shop/admin/products.php,10,0,0
1722613063110,9,Create Product,200,OK,Thread Group - Create Product 2-92,text,true,,65983,8114,1,1,http://127.0.0.1/shop/admin/products.php,8,0,1
1722613063211,10,Create Product,200,OK,Thread Group - Create Product 2-93,text,true,,66675,8121,1,1,http://127.0.0.1/shop/admin/products.php,9,0,1
1722613063310,10,Create Product,200,OK,Thread Group - Create Product 2-94,text,true,,67360,8142,1,1,http://127.0.0.1/shop/admin/products.php,9,0,1
1722613063391,10,Create Product,200,OK,Thread Group - Create Product 2-95,text,true,,68045,8149,1,1,http://127.0.0.1/shop/admin/products.php,9,0,1
1722613063510,11,Create Product,200,OK,Thread Group - Create Product 2-96,text,true,,68730,8170,1,1,http://127.0.0.1/shop/admin/products.php,10,0,1
1722613063589,9,Create Product,200,OK,Thread Group - Create Product 2-97,text,true,,69415,8114,1,1,http://127.0.0.1/shop/admin/products.php,8,0,1
1722613063710,11,Create Product,200,OK,Thread Group - Create Product 2-98,text,true,,70100,8170,1,1,http://127.0.0.1/shop/admin/products.php,11,0,0
1722613063789,9,Create Product,200,OK,Thread Group - Create Product 2-99,text,true,,70786,8100,1,1,http://127.0.0.1/shop/admin/products.php,8,0,1
1722613063910,10,Create Product,200,OK,Thread Group - Create Product 2-100,text,true,,71471,8156,1,1,http://127.0.0.1/shop/admin/products.php,9,0,1
